id,date,hb,hb_name,daily_positive,cumulative_positive,daily_positive_pcr_only,cumulative_positive_pcr_only,daily_positive_lfd_only,cumulative_positive_lfd_only,daily_positive_pcr_and_lfd,cumulative_positive_pcr_and_lfd,daily_deaths,daily_deaths_qf,cumulative_deaths,cumulative_deaths_qf,crude_rate_deaths,crude_rate_deaths_qf,positive_tests,positive_tests_lfd_only,hospital_admissions,hospital_admissions_qf,icu_admissions,icu_admissions_qf,positive_pillar1,positive_pillar2,first_infections,first_infections_cumulative,reinfections,reinfections_cumulative,percent_reinfections,percent_reinfections_cumulative,total_tests,total_pillar1,total_pillar2,total_lfd,hospital_occupancy,icu_occupancy28daysless,icu_occupancy28daysmore
1,2020-02-28,S92000003,Scotland,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,NA,:,NA,:,2,0,1,1,0,0,0,0,164,164,0,NA,NA,NA,NA
2,2020-02-28,S08000030,NHS Tayside,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,NA,:,NA,:,2,0,1,1,0,0,0,0,8,8,0,NA,NA,NA,NA
3,2020-02-29,S92000003,Scotland,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,1,0,0,NA,0,90,90,0,NA,NA,NA,NA
4,2020-02-29,S08000030,NHS Tayside,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,1,0,0,NA,0,1,1,0,NA,NA,NA,NA
5,2020-03-01,S92000003,Scotland,2,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,1,NA,NA,:,2,0,2,3,0,0,0,0,92,92,0,NA,NA,NA,NA
6,2020-03-01,S08000030,NHS Tayside,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,1,0,0,NA,0,3,3,0,NA,NA,NA,NA
7,2020-03-01,S08000020,NHS Grampian,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,1,0,0,0,0,7,7,0,NA,NA,NA,NA
8,2020-03-01,S08000019,NHS Forth Valley,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,1,0,0,0,0,6,6,0,NA,NA,NA,NA
9,2020-03-02,S92000003,Scotland,1,4,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,4,NA,0,NA,NA,:,4,0,1,4,0,0,0,0,264,264,0,NA,NA,NA,NA
10,2020-03-02,S08000030,NHS Tayside,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,3,NA,NA,:,NA,:,3,0,0,1,0,0,NA,0,19,19,0,NA,NA,NA,NA
11,2020-03-02,S08000020,NHS Grampian,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,1,0,0,NA,0,18,18,0,NA,NA,NA,NA
12,2020-03-02,S08000019,NHS Forth Valley,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,1,0,0,NA,0,21,21,0,NA,NA,NA,NA
13,2020-03-02,S08000015,NHS Ayrshire and Arran,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,1,0,0,0,0,10,10,0,NA,NA,NA,NA
14,2020-03-03,S92000003,Scotland,3,7,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,6,NA,1,NA,NA,:,6,0,3,7,0,0,0,0,288,288,0,NA,NA,NA,NA
15,2020-03-03,S08000030,NHS Tayside,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,NA,:,NA,:,2,0,0,1,0,0,NA,0,37,37,0,NA,NA,NA,NA
16,2020-03-03,S08000031,NHS Greater Glasgow and Clyde,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,NA,:,NA,:,2,0,1,1,0,0,0,0,72,72,0,NA,NA,NA,NA
17,2020-03-03,S08000020,NHS Grampian,1,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,2,0,0,0,0,15,15,0,NA,NA,NA,NA
18,2020-03-03,S08000019,NHS Forth Valley,1,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,2,0,0,0,0,25,25,0,NA,NA,NA,NA
19,2020-03-03,S08000015,NHS Ayrshire and Arran,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,1,0,0,NA,0,19,19,0,NA,NA,NA,NA
20,2020-03-04,S92000003,Scotland,6,13,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,10,NA,1,NA,NA,:,10,0,6,13,0,0,0,0,255,255,0,NA,NA,NA,NA
21,2020-03-04,S08000030,NHS Tayside,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,1,0,0,NA,0,22,22,0,NA,NA,NA,NA
22,2020-03-04,S08000024,NHS Lothian,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,1,0,0,0,0,33,33,0,NA,NA,NA,NA
23,2020-03-04,S08000031,NHS Greater Glasgow and Clyde,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,1,0,0,NA,0,92,92,0,NA,NA,NA,NA
24,2020-03-04,S08000020,NHS Grampian,2,4,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,NA,:,NA,:,2,0,2,4,0,0,0,0,7,7,0,NA,NA,NA,NA
25,2020-03-04,S08000019,NHS Forth Valley,1,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,4,NA,NA,:,NA,:,4,0,1,3,0,0,0,0,33,33,0,NA,NA,NA,NA
26,2020-03-04,S08000029,NHS Fife,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,NA,:,NA,:,2,0,2,2,0,0,0,0,3,3,0,NA,NA,NA,NA
27,2020-03-04,S08000015,NHS Ayrshire and Arran,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,0,1,0,0,NA,0,15,15,0,NA,NA,NA,NA
28,2020-03-05,S92000003,Scotland,2,15,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,8,NA,3,NA,NA,:,8,0,2,15,0,0,0,0,266,266,0,NA,NA,NA,NA
29,2020-03-05,S08000030,NHS Tayside,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,NA,:,NA,:,2,0,0,1,0,0,NA,0,30,30,0,NA,NA,NA,NA
30,2020-03-05,S08000024,NHS Lothian,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,0,1,0,0,NA,0,32,32,0,NA,NA,NA,NA
31,2020-03-05,S08000032,NHS Lanarkshire,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,1,0,0,0,0,32,32,0,NA,NA,NA,NA
32,2020-03-05,S08000031,NHS Greater Glasgow and Clyde,1,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,NA,:,NA,:,2,0,1,2,0,0,0,0,91,91,0,NA,NA,NA,NA
33,2020-03-05,S08000020,NHS Grampian,0,4,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,NA,:,NA,:,2,0,0,4,0,0,NA,0,15,15,0,NA,NA,NA,NA
34,2020-03-05,S08000019,NHS Forth Valley,0,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,3,0,0,NA,0,18,18,0,NA,NA,NA,NA
35,2020-03-05,S08000029,NHS Fife,0,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,2,0,0,NA,0,9,9,0,NA,NA,NA,NA
