date,country,country_name,sex,sex_qf,age_group,age_group_qf,daily_positive,cumulative_positive,daily_deaths,daily_deaths_qf,cumulative_deaths,cumulative_deaths_qf,crude_rate_deaths,crude_rate_deaths_qf,first_infections,first_infections_cumulative,reinfections,reinfections_cumulative,percent_reinfections,percent_reinfections_cumulative
2020-02-28,S92000003,Scotland,Male,NA,0 to 59,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-02-28,S92000003,Scotland,Male,NA,45 to 64,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-02-28,S92000003,Scotland,Male,NA,Total,d,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-02-28,S92000003,Scotland,Total,d,0 to 59,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-02-28,S92000003,Scotland,Total,d,45 to 64,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-02-28,S92000003,Scotland,Total,d,Total,d,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-02-29,S92000003,Scotland,Male,NA,0 to 59,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-02-29,S92000003,Scotland,Male,NA,45 to 64,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-02-29,S92000003,Scotland,Male,NA,Total,d,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-02-29,S92000003,Scotland,Total,d,0 to 59,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-02-29,S92000003,Scotland,Total,d,45 to 64,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-02-29,S92000003,Scotland,Total,d,Total,d,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-01,S92000003,Scotland,Female,NA,60+,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-01,S92000003,Scotland,Female,NA,65 to 74,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-01,S92000003,Scotland,Female,NA,Total,d,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-01,S92000003,Scotland,Male,NA,0 to 59,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-01,S92000003,Scotland,Male,NA,45 to 64,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-01,S92000003,Scotland,Male,NA,Total,d,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-01,S92000003,Scotland,Total,d,0 to 59,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-01,S92000003,Scotland,Total,d,45 to 64,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-01,S92000003,Scotland,Total,d,60+,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-01,S92000003,Scotland,Total,d,65 to 74,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-01,S92000003,Scotland,Total,d,Total,d,2,3,0,NA,0,NA,0,NA,2,3,0,0,0,0
2020-03-02,S92000003,Scotland,Female,NA,60+,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-02,S92000003,Scotland,Female,NA,65 to 74,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-02,S92000003,Scotland,Female,NA,Total,d,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-02,S92000003,Scotland,Male,NA,0 to 59,NA,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0
2020-03-02,S92000003,Scotland,Male,NA,25 to 44,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-02,S92000003,Scotland,Male,NA,45 to 64,NA,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0
2020-03-02,S92000003,Scotland,Male,NA,Total,d,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0
2020-03-02,S92000003,Scotland,Total,d,0 to 59,NA,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0
2020-03-02,S92000003,Scotland,Total,d,25 to 44,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-02,S92000003,Scotland,Total,d,45 to 64,NA,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0
2020-03-02,S92000003,Scotland,Total,d,60+,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-02,S92000003,Scotland,Total,d,65 to 74,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-02,S92000003,Scotland,Total,d,Total,d,1,4,0,NA,0,NA,0,NA,1,4,0,0,0,0
2020-03-03,S92000003,Scotland,Female,NA,60+,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-03,S92000003,Scotland,Female,NA,65 to 74,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-03,S92000003,Scotland,Female,NA,Total,d,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-03,S92000003,Scotland,Male,NA,0 to 59,NA,3,6,0,NA,0,NA,0,NA,3,6,0,0,0,0
2020-03-03,S92000003,Scotland,Male,NA,25 to 44,NA,2,3,0,NA,0,NA,0,NA,2,3,0,0,0,0
2020-03-03,S92000003,Scotland,Male,NA,45 to 64,NA,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0
