hb,sex,age,year,population
S08000015,All,0-9 years,2017,38393
S08000015,All,0-9 years,2018,37910
S08000015,All,0-9 years,2019,37071
S08000015,All,0-9 years,2020,36382
S08000015,All,0-9 years,2021,35440
S08000015,All,10-19 years,2017,39508
S08000015,All,10-19 years,2018,39072
S08000015,All,10-19 years,2019,39233
S08000015,All,10-19 years,2020,39297
S08000015,All,10-19 years,2021,39758
S08000015,All,20-29 years,2017,41492
S08000015,All,20-29 years,2018,41207
S08000015,All,20-29 years,2019,40802
S08000015,All,20-29 years,2020,40331
S08000015,All,20-29 years,2021,40010
S08000015,All,30-39 years,2017,39152
S08000015,All,30-39 years,2018,39687
S08000015,All,30-39 years,2019,39991
S08000015,All,30-39 years,2020,39840
S08000015,All,30-39 years,2021,40409
S08000015,All,40-49 years,2017,47663
S08000015,All,40-49 years,2018,45770
S08000015,All,40-49 years,2019,44251
S08000015,All,40-49 years,2020,43041
S08000015,All,40-49 years,2021,42118
S08000015,All,50-59 years,2017,57221
S08000015,All,50-59 years,2018,57512
S08000015,All,50-59 years,2019,57455
S08000015,All,50-59 years,2020,57269
S08000015,All,50-59 years,2021,57258
S08000015,All,60-69 years,2017,49771
S08000015,All,60-69 years,2018,49829
S08000015,All,60-69 years,2019,50281
S08000015,All,60-69 years,2020,50794
S08000015,All,60-69 years,2021,51797
S08000015,All,70-79 years,2017,37056
S08000015,All,70-79 years,2018,38232
S08000015,All,70-79 years,2019,39347
S08000015,All,70-79 years,2020,39896
S08000015,All,70-79 years,2021,40640
S08000015,All,80-89 years,2017,16937
S08000015,All,80-89 years,2018,17188
S08000015,All,80-89 years,2019,17563
S08000015,All,80-89 years,2020,17880
S08000015,All,80-89 years,2021,17921
S08000015,All,90 years and over,2017,3217
S08000015,All,90 years and over,2018,3263
S08000015,All,90 years and over,2019,3366
S08000015,All,90 years and over,2020,3260
S08000015,All,90 years and over,2021,3339
S08000015,All,All ages,2017,370410
S08000015,All,All ages,2018,369670
S08000015,All,All ages,2019,369360
S08000015,All,All ages,2020,367990
S08000015,All,All ages,2021,368690
S08000015,Female,0-9 years,2017,18684
S08000015,Female,0-9 years,2018,18448
S08000015,Female,0-9 years,2019,17975
S08000015,Female,0-9 years,2020,17715
S08000015,Female,0-9 years,2021,17209
S08000015,Female,10-19 years,2017,19353
S08000015,Female,10-19 years,2018,19165
S08000015,Female,10-19 years,2019,19305
S08000015,Female,10-19 years,2020,19331
S08000015,Female,10-19 years,2021,19579
S08000015,Female,20-29 years,2017,20623
S08000015,Female,20-29 years,2018,20363
S08000015,Female,20-29 years,2019,20087
S08000015,Female,20-29 years,2020,19733
S08000015,Female,20-29 years,2021,19581
S08000015,Female,30-39 years,2017,20741
S08000015,Female,30-39 years,2018,21055
S08000015,Female,30-39 years,2019,21222
S08000015,Female,30-39 years,2020,21098
S08000015,Female,30-39 years,2021,21322
S08000015,Female,40-49 years,2017,25353
S08000015,Female,40-49 years,2018,24373
S08000015,Female,40-49 years,2019,23553
S08000015,Female,40-49 years,2020,22858
S08000015,Female,40-49 years,2021,22375
S08000015,Female,50-59 years,2017,29947
S08000015,Female,50-59 years,2018,30169
S08000015,Female,50-59 years,2019,30281
S08000015,Female,50-59 years,2020,30318
S08000015,Female,50-59 years,2021,30448
S08000015,Female,60-69 years,2017,25890
S08000015,Female,60-69 years,2018,25951
S08000015,Female,60-69 years,2019,26161
S08000015,Female,60-69 years,2020,26537
S08000015,Female,60-69 years,2021,27086
S08000015,Female,70-79 years,2017,19897
S08000015,Female,70-79 years,2018,20509
S08000015,Female,70-79 years,2019,21113
S08000015,Female,70-79 years,2020,21322
S08000015,Female,70-79 years,2021,21676
S08000015,Female,80-89 years,2017,10043
S08000015,Female,80-89 years,2018,10119
S08000015,Female,80-89 years,2019,10246
S08000015,Female,80-89 years,2020,10391
S08000015,Female,80-89 years,2021,10448
S08000015,Female,90 years and over,2017,2269
S08000015,Female,90 years and over,2018,2302
S08000015,Female,90 years and over,2019,2368
S08000015,Female,90 years and over,2020,2286
S08000015,Female,90 years and over,2021,2290
S08000015,Female,All ages,2017,192800
S08000015,Female,All ages,2018,192454
S08000015,Female,All ages,2019,192311
S08000015,Female,All ages,2020,191589
S08000015,Female,All ages,2021,192014
S08000015,Male,0-9 years,2017,19709
S08000015,Male,0-9 years,2018,19462
S08000015,Male,0-9 years,2019,19096
S08000015,Male,0-9 years,2020,18667
S08000015,Male,0-9 years,2021,18231
