Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,DailyDeaths,DailyDeathsQF,CumulativeDeaths,CumulativeDeathsQF,CrudeRateDeaths,CrudeRateDeathsQF,FirstInfections,FirstInfectionsCumulative,Reinfections,ReinfectionsCumulative,PercentReinfections,PercentReinfectionsCumulative
20200228,S92000003,Male,"",0 to 59,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200228,S92000003,Male,"",45 to 64,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200228,S92000003,Male,"",Total,d,1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200228,S92000003,Total,d,0 to 59,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200228,S92000003,Total,d,45 to 64,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200228,S92000003,Total,d,Total,d,1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200229,S92000003,Male,"",0 to 59,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200229,S92000003,Male,"",45 to 64,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200229,S92000003,Male,"",Total,d,0,1,0,"",0,"",0,"",0,1,0,0,,0
20200229,S92000003,Total,d,0 to 59,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200229,S92000003,Total,d,45 to 64,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200229,S92000003,Total,d,Total,d,0,1,0,"",0,"",0,"",0,1,0,0,,0
20200301,S92000003,Female,"",60+,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200301,S92000003,Female,"",65 to 74,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200301,S92000003,Female,"",Total,d,1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200301,S92000003,Male,"",0 to 59,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200301,S92000003,Male,"",45 to 64,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200301,S92000003,Male,"",Total,d,1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200301,S92000003,Total,d,0 to 59,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
